File,Procurement Instrument Identifier,Modification Number,Referenced PIID,Transaction Number,Solicitation Identifier,Agency Identifier,Referenced IDV Modification Number,Referenced IDV Agency Identifier,Date Signed,Effective Date,Current Completion Date,Ultimate Completion Date,IDV Last Date to Order,Date/Time Stamp Accepted,Base And All Options Value,Base And Exercised Options Value,Action Obligation,Total Action Obligation,Total Base And Exercised Options Value,Contracting Office Agency Name,Contracting Office Code,Program/Funding Agency Code,Program/Funding Office Code,Foreign Funding,Source UserID,Web Site URL,Who Can Use,Maximum Order Limit,Fee for Use of Service,Fixed Fee Value,Fee Range Lower Value,Fee Range Upper Value,Ordering Procedure,Fee Paid for Use of IDV,Type of Contract,Undefinitized Action,Multi Year Contract,Type of IDC,Major Program,"Contingency, Humanitarian, or Peacekeeping Operation",Cost or Pricing Data,Contract Financing,Cost Accounting Standards Clause,Purchase Card as Payment Method,Program Acronym,Number of Actions,National Interest Action,Product/Service Code,Product/Service Description,"Program, System, or Equipment Code",DoD Claimant Program Code,Information Technology Commercial Item Category,DUNS Number,Contractor Name,Principal Place of Performance State,Principal Place of Performance Location,Principal Place of Performance Country,Principal Place of Performance Name,Country of Product or Service Origin,Congressional District - Contractor,Congressional District - Place of Performance,Place of Manufacture,Place Of Performance Zip Code,Place Of Performance Zip Code Extension
fpds_content_969.html,7200AA21P00037,P00005,,0,,7200,,,2024-10-24,2021-11-08,2025-02-07,2025-11-08,2021-09-01,2024-11-13 13:15:39,11700.0,11700.0,11700.0,152100.0,152100.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,72000M,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,M1LZ,OPERATION OF PARKING FACILITIES,,,,,,TX,,USA,DALLAS,USA,,,,75202,4055
fpds_content_590.html,692M1522D00002,P00005,,,,6920,,,2025-02-03,2022-04-18,,,2022-01-06,2025-02-03 07:10:21,0.0,0.0,0.0,0.0,0.0,FEDERAL AVIATION ADMINISTRATION,692M15,6920,693JG2,,,,,0,,,,,,0,,,,,,,,,,,,,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,,,,,,,,,,,,,,,
fpds_content_986.html,7200AA22F00017,P00004,,0,,7200,0,7200,2024-09-10,2022-09-30,2027-09-29,2027-09-29,2022-08-01,2024-09-10 17:04:22,0.0,0.0,8950000.0,24932987.33,67761374.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,720DRG,,,,,0,,0.0,0.0,0.0,,0,,,,,COUNTERING TRANSNATIONAL CORRUPTION GRAND CHALLENGE FOR DEVELOPMENT (CTC GRAND CHALLENGE),,,,,,,1,,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,,,,,,DC,,USA,WASHINGTON,USA,,,,20523,0001
fpds_content_1108.html,72MC1023C00019,P00004,,0,,7200,,,2024-09-13,2023-09-30,2025-09-29,2025-09-29,2023-09-01,2024-11-05 15:38:53,287520.0,287520.0,287520.0,1725008.0,1725008.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,72MC10,7200,720BHA,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),,,,,,DC,,USA,WASHINGTON,USA,,,,20547,0002
fpds_content_206.html,91990024C0044,P00001,,0,91990024R0014,9100,,,2025-02-10,2024-09-30,2025-02-10,2029-09-29,2024-06-12,2025-02-10 18:09:10,0.0,0.0,0.0,492154.52,492154.52,"EDUCATION, DEPARTMENT OF",919900,9100,910039,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,B542,SPECIAL STUDIES/ANALYSIS- EDUCATIONAL,,,,,,DC,,USA,WASHINGTON,USA,,,,20009,5801
fpds_content_656.html,205AE924F00039,P00001,,0,RFQ1726454,2050,PA0051,4732,2025-01-28,2024-09-29,2025-09-28,2025-09-28,2024-09-13,2025-01-28 15:27:56,0.0,0.0,0.0,98750.0,98750.0,INTERNAL REVENUE SERVICE,2032H8,2050,2091JD,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,6910,TRAINING AIDS,,,,,,KS,,USA,SALINA,USA,,,,67401,2697
fpds_content_343.html,75D30124F19892,P00001,,0,75D301-24-Q-78010,7523,PA0011,4732,2025-01-30,2024-08-22,2025-08-21,2025-08-21,2024-07-23,2025-01-30 10:59:14,0.0,0.0,0.0,77600.0,77600.0,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,7523,75D301,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,U001,EDUCATION/TRAINING- LECTURES,,,,,,OH,,USA,CINCINNATI,USA,,,,45226,1938
fpds_content_713.html,140G0123C0005,P00002,,0,140G0123R0008,1434,,,2025-02-12,2023-08-03,2027-08-30,2027-08-30,2023-04-11,2025-02-12 16:31:40,-4200000.0,-4200000.0,-4200000.0,10000.0,10000.0,US GEOLOGICAL SURVEY,140G01,1434,140G01,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,B529,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,,,,,,NM,,USA,LAS CRUCES,USA,,,,88003,1004
fpds_content_197.html,91990019C0066,P00006,,0,91990019R0033,9100,,,2025-02-10,2019-09-24,2026-12-15,2026-12-15,2019-07-12,2025-02-10 18:05:29,0.0,0.0,0.0,7989364.3,7989364.3,"EDUCATION, DEPARTMENT OF",919900,9100,910039,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,,,,,,DC,,USA,WASHINGTON,USA,,,,20202,0004
fpds_content_894.html,72068724P00056,0,,0,,7200,,,2024-09-19,2024-09-19,2025-08-31,2025-08-31,,2024-09-19 12:00:26,20000.0,20000.0,20000.0,0.0,0.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,720687,7200,720687,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,,,MDG,MADAGASCAR,MDG,,,,,
